filename,gesture_id,gesture_name
gesture-2021-04-26-13-33-20-39cd.bin,17,INFINITY
gesture-2023-01-13-16-54-28-01fa.bin,7,S
gesture-2021-09-14-15-31-31-7207.bin,17,INFINITY
gesture-2023-01-12-12-25-50-a6e8.bin,10,C
gesture-2021-09-15-14-00-52-4ab7.bin,17,INFINITY
gesture-2023-01-12-12-39-28-f01b.bin,10,C
gesture-2021-04-20-17-53-38-5c82.bin,14,swipe-left
gesture-2023-01-13-14-06-22-9a6d.bin,7,S
gesture-2021-04-26-11-55-37-7970.bin,2,O
gesture-2021-09-15-15-09-14-edc5.bin,17,INFINITY
gesture-2023-01-12-12-56-49-a4c4.bin,10,C
gesture-2021-09-15-13-35-55-6a02.bin,3,I
gesture-2023-01-13-12-06-22-9e75.bin,2,O
gesture-2023-01-13-12-39-47-57eb.bin,8,D
gesture-2023-01-12-12-29-18-5118.bin,15,>
gesture-2023-01-19-16-10-31-b26c.bin,15,>
gesture-2023-01-12-11-54-26-0d6a.bin,17,INFINITY
gesture-2023-01-13-11-53-46-5d54.bin,6,e
gesture-2023-01-13-17-07-45-fbdb.bin,10,C
gesture-2023-01-12-15-18-35-b1db.bin,15,>
gesture-2023-01-12-13-04-25-0a67.bin,15,>
gesture-2021-04-26-13-25-54-6fe8.bin,16,<
gesture-2023-01-17-17-42-34-da2e.bin,8,D
gesture-2023-01-13-12-03-18-c1be.bin,17,INFINITY
gesture-2023-01-12-17-13-36-d7f1.bin,6,e
gesture-2023-01-13-12-02-01-e385.bin,12,M
gesture-2023-01-13-12-36-25-31b1.bin,12,M
gesture-2023-01-12-17-17-03-539c.bin,12,M
gesture-2021-09-15-13-35-45-824e.bin,3,I
gesture-2021-04-19-16-47-02-cf04.bin,3,I
gesture-2023-01-12-15-09-49-f11d.bin,2,O
gesture-2023-01-19-16-12-50-dfbe.bin,9,Z
gesture-2021-09-15-14-04-56-b338.bin,16,<
gesture-2023-01-19-16-16-11-6443.bin,6,e
gesture-2021-04-20-17-55-44-150b.bin,15,>
gesture-2023-01-12-17-07-39-766c.bin,10,C
gesture-2023-01-12-11-51-40-1a30.bin,12,M
gesture-2023-01-12-12-20-41-fb88.bin,15,>
gesture-2023-01-12-14-00-21-0e88.bin,6,e
gesture-2023-01-13-12-20-48-c33a.bin,12,M
gesture-2021-09-14-15-29-17-c13e.bin,5,V
gesture-2021-04-26-12-57-59-ce15.bin,14,swipe-left
gesture-2023-01-18-10-38-10-fbf6.bin,12,M
gesture-2023-01-13-17-04-43-4294.bin,11,N
gesture-2021-04-26-12-02-28-b50f.bin,3,I
gesture-2023-01-13-16-59-09-0887.bin,5,V
gesture-2023-01-13-17-14-07-8c63.bin,1,L
gesture-2021-09-15-14-06-18-3ae1.bin,16,<
gesture-2023-01-21-12-44-02-c7ab.bin,10,C
gesture-2023-01-13-12-15-39-9a99.bin,7,S
gesture-2021-04-26-11-59-55-2b09.bin,3,I
gesture-2021-04-26-12-31-01-5aba.bin,8,D
gesture-2021-09-14-15-19-00-4360.bin,4,U
gesture-2023-01-12-15-11-01-4c23.bin,6,e
gesture-2021-04-20-17-26-23-77c6.bin,10,C
gesture-2023-01-12-12-31-19-b477.bin,8,D
gesture-2023-01-12-11-54-40-e933.bin,17,INFINITY
gesture-2021-09-14-15-44-19-41df.bin,16,<
gesture-2023-01-13-14-06-07-70ef.bin,7,S
gesture-2023-01-12-12-39-47-aa6a.bin,10,C
gesture-2023-01-12-12-05-29-30ac.bin,10,C
gesture-2021-04-26-12-53-19-eeef.bin,13,swipe-right
gesture-2023-01-20-14-08-36-b39f.bin,8,D
gesture-2021-04-26-13-31-56-b318.bin,17,INFINITY
gesture-2021-09-15-14-57-50-9d38.bin,4,U
gesture-2023-01-13-12-06-16-ddc6.bin,2,O
gesture-2023-01-19-15-25-57-246e.bin,7,S
gesture-2023-01-12-15-14-12-1e04.bin,12,M
gesture-2021-04-26-12-02-42-c3dc.bin,3,I
gesture-2023-01-12-14-07-17-c478.bin,6,e
gesture-2023-01-13-12-22-41-e2a5.bin,17,INFINITY
gesture-2023-01-13-12-41-20-f0cb.bin,15,>
gesture-2023-01-12-17-09-46-6887.bin,10,C
gesture-2023-01-12-10-49-05-de0a.bin,10,C
gesture-2023-01-20-14-09-52-8d67.bin,12,M
gesture-2023-01-12-12-42-26-1b01.bin,6,e
gesture-2021-09-14-15-42-21-360b.bin,16,<
gesture-2023-01-13-14-13-24-dbb8.bin,2,O
gesture-2023-01-12-12-55-16-60ca.bin,6,e
gesture-2021-04-19-16-48-06-e115.bin,3,I
gesture-2021-04-26-12-17-44-e2c0.bin,6,e
gesture-2021-09-15-13-34-51-c02c.bin,3,I
gesture-2021-09-15-14-05-57-1838.bin,16,<
gesture-2023-01-12-12-02-56-423a.bin,1,L
gesture-2021-09-14-15-40-38-ada0.bin,16,<
gesture-2023-01-12-12-16-05-3cbc.bin,6,e
gesture-2021-04-26-11-45-40-8a8c.bin,1,L
gesture-2023-01-12-12-27-10-61e8.bin,6,e
gesture-2021-09-14-15-30-29-12d2.bin,5,V
gesture-2023-01-19-15-24-52-6b9e.bin,7,S
gesture-2023-01-13-16-54-49-a2ca.bin,7,S
gesture-2021-09-15-14-59-11-e8ea.bin,5,V
gesture-2023-01-12-14-12-18-b7f6.bin,10,C
gesture-2021-04-26-11-54-00-7973.bin,2,O
gesture-2023-01-12-12-14-05-59b1.bin,1,L
gesture-2023-01-12-14-15-20-9463.bin,12,M
gesture-2023-01-13-17-05-34-30b8.bin,11,N
gesture-2021-04-26-12-03-44-63d6.bin,3,I
gesture-2021-09-14-15-39-20-b736.bin,16,<
gesture-2021-09-14-15-24-15-2bd8.bin,5,V
gesture-2021-04-26-12-15-15-17ea.bin,6,e
gesture-2021-04-20-17-51-31-b47e.bin,14,swipe-left
gesture-2021-04-26-11-59-12-22ff.bin,3,I
gesture-2023-01-13-17-09-17-ee68.bin,10,C
gesture-2023-01-21-12-48-48-1aac.bin,12,M
gesture-2023-01-21-12-51-12-5df5.bin,17,INFINITY
gesture-2023-01-12-12-19-32-3589.bin,8,D
gesture-2021-09-15-13-58-43-3c29.bin,17,INFINITY
gesture-2021-09-14-15-09-50-534e.bin,3,I
gesture-2023-01-12-14-06-38-6f61.bin,6,e
gesture-2023-01-12-17-11-15-5e9d.bin,15,>
gesture-2021-09-15-14-58-05-b94d.bin,5,V
gesture-2023-01-13-11-51-49-41e6.bin,2,O
gesture-2023-01-12-17-03-36-9ae9.bin,2,O
gesture-2021-09-15-13-38-46-6bfc.bin,3,I
gesture-2023-01-12-15-08-15-9e0c.bin,1,L
gesture-2023-01-19-15-37-39-8616.bin,10,C
gesture-2023-01-12-15-13-08-8683.bin,10,C
gesture-2023-01-12-12-43-28-4934.bin,12,M
gesture-2023-01-19-16-11-57-3fec.bin,9,Z
gesture-2021-09-14-15-45-12-9d52.bin,16,<
gesture-2023-01-13-14-06-45-5bfb.bin,7,S
gesture-2023-01-12-11-51-53-8545.bin,12,M
gesture-2021-04-20-17-23-44-ec91.bin,9,Z
gesture-2023-01-12-12-55-33-b59e.bin,6,e
gesture-2021-04-20-17-35-41-1320.bin,11,N
gesture-2023-01-13-14-17-16-4a9a.bin,12,M
gesture-2023-01-12-12-17-19-3df5.bin,12,M
gesture-2023-01-12-15-20-21-d14e.bin,5,V
gesture-2023-01-12-15-14-19-5891.bin,12,M
gesture-2021-04-26-12-23-14-c80d.bin,7,S
gesture-2021-09-15-15-10-58-9ca7.bin,16,<
gesture-2021-04-26-11-58-30-4164.bin,3,I
gesture-2023-01-21-12-42-39-161f.bin,15,>
gesture-2021-09-15-15-06-29-d84a.bin,17,INFINITY
gesture-2023-01-12-14-01-59-c2d8.bin,15,>
gesture-2023-01-19-16-09-20-4792.bin,7,S
gesture-2023-01-12-15-16-06-1dd7.bin,8,D
gesture-2021-09-15-15-01-40-ce94.bin,5,V
gesture-2023-01-13-17-08-42-de89.bin,10,C
gesture-2021-04-26-12-25-03-b030.bin,7,S
gesture-2023-01-13-11-53-17-2c3a.bin,6,e
gesture-2021-04-20-17-00-28-469e.bin,5,V
gesture-2023-01-12-15-18-22-e3d5.bin,15,>
gesture-2021-09-15-13-37-57-a3bc.bin,3,I
gesture-2023-01-13-16-55-48-cf0f.bin,7,S
gesture-2021-09-15-14-06-09-e201.bin,16,<
gesture-2021-09-14-15-40-02-e1bc.bin,16,<
gesture-2021-04-20-17-03-07-9450.bin,6,e
gesture-2021-04-20-17-27-11-6102.bin,10,C
gesture-2023-01-13-17-14-05-a543.bin,1,L
gesture-2023-01-19-15-22-09-fe83.bin,1,L
