filename,gesture_id,gesture_name
gesture-4902.bin,15,RightHome
gesture-1397.bin,4,LeftHome
gesture-7258.bin,23,Zoom
gesture-2830.bin,9,LeftRotate
gesture-1663.bin,5,LeftInfinity
gesture-3769.bin,12,RightClick
gesture-6023.bin,19,RightPush
gesture-7155.bin,22,Teleportation
gesture-42.bin,0,LeftBack
gesture-2179.bin,7,LeftPoint
gesture-4112.bin,13,RightClose
gesture-4597.bin,15,RightHome
gesture-3661.bin,12,RightClick
gesture-6138.bin,19,RightPush
gesture-3117.bin,10,LeftScroll
gesture-4698.bin,15,RightHome
gesture-127.bin,0,LeftBack
gesture-3369.bin,11,RightBack
gesture-7450.bin,23,Zoom
gesture-4191.bin,13,RightClose
gesture-5419.bin,17,RightOpenPalm
gesture-3840.bin,12,RightClick
gesture-6122.bin,19,RightPush
gesture-792.bin,2,LeftClose
gesture-5016.bin,16,RightInfinity
gesture-6517.bin,20,RightRotate
gesture-1980.bin,6,LeftOpenPalm
gesture-4605.bin,15,RightHome
gesture-140.bin,0,LeftBack
gesture-3627.bin,12,RightClick
gesture-3960.bin,13,RightClose
gesture-4570.bin,14,RightGrab
gesture-3237.bin,11,RightBack
gesture-1708.bin,5,LeftInfinity
gesture-7305.bin,23,Zoom
gesture-1415.bin,4,LeftHome
gesture-2471.bin,8,LeftPush
gesture-5899.bin,18,RightPoint
gesture-1718.bin,5,LeftInfinity
gesture-7091.bin,22,Teleportation
gesture-6970.bin,21,RightScroll
gesture-544.bin,1,LeftClick
gesture-5333.bin,17,RightOpenPalm
gesture-4122.bin,13,RightClose
gesture-5267.bin,16,RightInfinity
gesture-2283.bin,7,LeftPoint
gesture-5578.bin,17,RightOpenPalm
gesture-4838.bin,15,RightHome
gesture-612.bin,2,LeftClose
gesture-6383.bin,20,RightRotate
gesture-4361.bin,14,RightGrab
gesture-1335.bin,4,LeftHome
gesture-1670.bin,5,LeftInfinity
gesture-770.bin,2,LeftClose
gesture-6798.bin,21,RightScroll
gesture-3151.bin,10,LeftScroll
gesture-989.bin,3,LeftGrab
gesture-3518.bin,11,RightBack
gesture-1403.bin,4,LeftHome
gesture-6009.bin,19,RightPush
gesture-2608.bin,8,LeftPush
gesture-1953.bin,6,LeftOpenPalm
gesture-634.bin,2,LeftClose
gesture-4405.bin,14,RightGrab
gesture-6753.bin,21,RightScroll
gesture-5727.bin,18,RightPoint
gesture-1382.bin,4,LeftHome
gesture-4898.bin,15,RightHome
gesture-4533.bin,14,RightGrab
gesture-5817.bin,18,RightPoint
gesture-6104.bin,19,RightPush
gesture-4947.bin,16,RightInfinity
gesture-271.bin,0,LeftBack
gesture-4005.bin,13,RightClose
gesture-2286.bin,7,LeftPoint
gesture-6929.bin,21,RightScroll
gesture-1420.bin,4,LeftHome
gesture-6146.bin,19,RightPush
gesture-1820.bin,6,LeftOpenPalm
gesture-145.bin,0,LeftBack
gesture-1580.bin,5,LeftInfinity
gesture-3454.bin,11,RightBack
gesture-4203.bin,13,RightClose
gesture-4672.bin,15,RightHome
gesture-399.bin,1,LeftClick
gesture-1596.bin,5,LeftInfinity
gesture-6718.bin,21,RightScroll
gesture-7372.bin,23,Zoom
gesture-3141.bin,10,LeftScroll
gesture-436.bin,1,LeftClick
gesture-3207.bin,10,LeftScroll
gesture-1931.bin,6,LeftOpenPalm
gesture-2095.bin,7,LeftPoint
gesture-2752.bin,9,LeftRotate
gesture-2586.bin,8,LeftPush
gesture-50.bin,0,LeftBack
gesture-7140.bin,22,Teleportation
gesture-5836.bin,18,RightPoint
gesture-6969.bin,21,RightScroll
gesture-2531.bin,8,LeftPush
gesture-6927.bin,21,RightScroll
gesture-6055.bin,19,RightPush
gesture-1234.bin,4,LeftHome
gesture-4848.bin,15,RightHome
gesture-2285.bin,7,LeftPoint
gesture-6168.bin,19,RightPush
gesture-1700.bin,5,LeftInfinity
gesture-2118.bin,7,LeftPoint
gesture-4892.bin,15,RightHome
gesture-2532.bin,8,LeftPush
gesture-4229.bin,14,RightGrab
gesture-1488.bin,5,LeftInfinity
gesture-1501.bin,5,LeftInfinity
gesture-5570.bin,17,RightOpenPalm
gesture-1133.bin,3,LeftGrab
gesture-5640.bin,17,RightOpenPalm
gesture-4473.bin,14,RightGrab
gesture-2085.bin,7,LeftPoint
gesture-4690.bin,15,RightHome
gesture-2554.bin,8,LeftPush
